Designator,Mid X,Mid Y,Rotation,Layer
1,184.75,-116.75,270.0,bottom
BT1,171.5,-120.25,90.0,bottom
C1,187.470437,-123.011132,270.0,top
C10,196.749999,-112.789777,0.0,top
C11,196.458764,-126.58553,0.0,top
C12,202.6178,-112.125035,270.0,bottom
C13,191.75,-115.75,90.0,bottom
C14,205.0,-114.75,270.0,bottom
C15,183.0,-118.25,90.0,top
C16,197.5,-121.5,90.0,top
C2,192.418,-121.020382,90.0,top
C3,189.427665,-112.522265,180.0,top
C4,193.25,-112.25,0.0,top
C5,195.25,-126.75,180.0,bottom
C6,196.553724,-116.574577,0.0,top
C7,196.5,-114.5,0.0,top
C8,195.25,-120.25,0.0,top
C9,195.914234,-118.110744,0.0,top
CB1,196.7428,-113.125035,0.0,bottom
D1,190.640086,-124.05378,180.0,top
D2,193.1875,-117.0,270.0,top
D3,190.4375,-116.25,270.0,top
J1,185.5,-129.25,90.0,top
J2,201.3,-120.25,90.0,top
J3,172.85,-120.2,270.0,top
L1,190.03535,-121.019676,0.0,top
Q1,187.0,-117.25,0.0,top
Q2,184.25,-125.0,90.0,bottom
Q3,194.899501,-123.772088,270.0,top
Q4,184.25,-123.0,90.0,top
R1,187.4375,-114.5,0.0,top
R2,186.759249,-125.060911,270.0,bottom
R3,192.327987,-126.998208,90.0,top
R4,186.7625,-120.0,180.0,top
R5,200.8678,-112.125035,90.0,bottom
R6,201.6178,-114.625035,0.0,bottom
R7,184.0,-126.0,180.0,top
R8,193.0,-119.0,90.0,bottom
R9,193.0,-122.25,270.0,bottom
U1,200.0,-121.125035,0.0,bottom
